Player,Nation,Position,Team,Age,Matches,Minutes,YellowCards,RedCards,Goals,PKGoals,PKAttempts,Assists,OwnGoals,PassAttempted,PassCompleted,AerialsWon,AerialsLost,AerialsWonPerc,Tackles,TacklesWon,Clearances,FoulsCommitted,PKConceded,Shots,ShotsTarget,FoulsDrawn,Crosses,PKWon
Unai Simón,ESP,GK,Athletic Club,25,21,1890,0.05,0,0,0,0,0,0,30,22,0,0,0,0,0,0.38,0,0,0,0,0.05,0,0
Rubén Sobrino,ESP,FWMF,Cádiz,30,17,1178,0.38,0,1,0,0,0.08,0,20.9,15.9,1.6,2.29,41.2,1.22,0.69,0.92,2.21,0,1.3,0.61,1.91,0.46,0
Alex Sola,ESP,DF,Real Sociedad,23,5,275,0.32,0,0,0,0,0,0,48.7,38.7,1.94,0.97,66.7,5.16,2.58,3.23,0.97,0,1.29,0.32,1.94,1.94,0
Augusto Solari,ARG,MFFW,Celta Vigo,31,8,194,0,0,0,0,0,0.45,0,45,35.9,1.36,1.36,50,3.18,2.27,1.36,3.18,0,0.91,0,1.36,0.91,0
Carlos Soler,ESP,MF,Valencia,26,3,242,0,0,1,0.37,0.37,0,0,45.6,34.1,0.37,0.37,50,0.74,0,0.74,0.74,0,1.48,0.37,1.48,5.93,0
David Soria,ESP,GK,Getafe,29,20,1800,0.05,0,0,0,0,0,0,29.1,16.7,0.15,0,100,0,0,0.5,0.05,0,0,0,0.05,0,0
Dyego Sousa,POR,FW,Almería,33,13,347,0.26,0,0,0,0,0.26,0,26.7,18.5,3.59,2.31,60.9,1.03,0.51,2.05,1.79,0,2.56,0.77,1.54,0,0
Vinicius Souza,BRA,MF,Espanyol,23,18,1527,0.41,0.06,0,0,0,0,0,32.8,26.5,2.47,2.06,54.5,4,2.53,1.76,2.59,0,0.24,0.06,1.35,0.18,0
Jørgen Strand Larsen,NOR,FW,Celta Vigo,23,16,1000,0.27,0,2,0,0,0.27,0,17.7,12,2.52,2.16,53.8,0.81,0.45,1.53,2.43,0,2.25,0.72,2.61,0,0.09
Cristhian Stuani,URU,FW,Girona,36,16,652,0.69,0,5,0.42,0.56,0,0,13.1,9.72,0.83,1.67,33.3,0.69,0.28,0.56,3.33,0,2.64,1.53,1.67,0.28,0
Damián Suárez,URU,DF,Getafe,34,13,900,0.2,0,1,0,0,0,0,52.5,36.5,0.8,0.2,80,2.6,1.7,1.9,1.8,0,0.2,0.1,0.4,4.8,0
Denis Suárez,ESP,MF,Espanyol,29,1,31,0,0,0,0,0,0,0,53.3,46.7,3.33,3.33,50,0,0,3.33,0,0,0,0,0,0,0
Mario Suárez,ESP,DFMF,Rayo Vallecano,35,1,6,0,0,0,0,0,0,0,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Suso,ESP,FWMF,Sevilla,29,10,315,0.29,0,0,0,0,0.29,0,59.7,48.6,0,0.57,0,1.71,0.86,0.29,1.14,0,2,0.86,2.29,7.71,0
Williot Swedberg,SWE,MF,Celta Vigo,19,1,34,2.5,0,0,0,0,0,0,30,27.5,0,0,0,2.5,0,0,2.5,0,0,0,2.5,0,0
Alexander Sørloth,NOR,FW,Real Sociedad,27,16,1276,0.14,0,8,0,0,0.07,0,18.8,13.2,1.83,1.48,55.3,0.56,0.21,0.99,1.41,0,2.39,1.27,0.49,0.21,0
