Player,Nation,Position,Team,Age,Matches,Minutes,YellowCards,RedCards,Goals,PKGoals,PKAttempts,Assists,OwnGoals,PassAttempted,PassCompleted,AerialsWon,AerialsLost,AerialsWonPerc,Tackles,TacklesWon,Clearances,FoulsCommitted,PKConceded,Shots,ShotsTarget,FoulsDrawn,Crosses,PKWon
Jorginho,ITA,MF,Arsenal,31,1,32,0,0,0,0,0,0,0,75,60,2.5,2.5,50,2.5,2.5,0,0,0,2.5,0,2.5,0,0
Jorginho,ITA,MF,Chelsea,31,18,1279,0.28,0,2,0.14,0.14,0,0,62.3,52.8,0.56,0.77,42.1,2.96,1.62,0.49,0.85,0,0.21,0.07,1.62,0.14,0
Diogo Jota,POR,FWMF,Liverpool,26,4,196,0.45,0,0,0,0,0.45,0,29.1,17.3,1.36,2.27,37.5,4.55,3.18,0.45,1.36,0,1.36,0.45,1.82,1.36,0
Hamed Junior Traorè,CIV,FW,Bournemouth,22,2,150,0,0,0,0,0,0,0,33.5,20.6,0,0.59,0,2.35,1.76,0,0.59,0,0.59,0,0,8.82,0
James Justin,ENG,DF,Leicester City,24,14,1252,0,0,0,0,0,0,0,58.9,48,1.65,2.3,41.8,1.44,1.29,3.38,0.58,0,0.36,0,2.09,1.51,0.07
Mathias Jørgensen,DEN,DF,Brentford,32,13,745,0.12,0,0,0,0,0,0.12,40.8,32.8,1.2,1.2,50,1.69,0.84,3.25,0.72,0,0.36,0.12,0.36,0.12,0
Sasa Kalajdzic,AUT,FW,Wolves,25,1,45,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,2,0,2,0,0
Boubacar Kamara,FRA,MF,Aston Villa,23,15,1195,0.23,0,0,0,0,0.08,0,53.9,45.3,1.43,1.05,57.6,3.23,1.35,1.35,1.58,0,0.3,0.08,1.43,0,0
Harry Kane,ENG,FW,Tottenham,29,23,2055,0.18,0,17,0.09,0.13,0.04,0,23.5,16.3,1.75,2.02,46.5,0.31,0.26,0.48,0.83,0,3.55,1.58,1.4,1.1,0.04
N'Golo Kanté,FRA,MF,Chelsea,31,2,174,0,0,0,0,0,0,0,67.9,56.3,0,1.05,0,2.63,1.58,0,0,0,1.05,0.53,0,1.58,0
Michael Keane,ENG,DF,Everton,30,1,23,0,0,0,0,0,0,0,13.3,6.67,0,3.33,0,0,0,13.3,3.33,0,0,0,0,0,0
Neeskens Kebano,COD,FW,Fulham,30,12,713,0,0,0,0,0,0.38,0,23.8,17.6,0.13,1.52,7.7,1.52,0.63,1.01,1.01,0,1.14,0.25,1.9,2.53,0
Thilo Kehrer,GER,DF,West Ham,26,17,1485,0.24,0,0,0,0,0,0.06,47.1,39.2,1.15,1.45,44.2,1.58,0.97,2.67,1.39,0.06,0.42,0.06,0.48,0.97,0
Naby Keïta,GUI,MF,Liverpool,28,6,247,0,0,0,0,0,0,0,53.7,41.1,0.74,1.85,28.6,0.74,0.74,0.37,2.96,0,3.7,0,0.74,0.74,0
Lloyd Kelly,ENG,DF,Bournemouth,24,10,900,0.2,0,0,0,0,0.2,0,49,38.8,1.9,0.8,70.4,1.2,0.7,4.8,0.8,0.1,0.2,0,0.2,0.6,0
Max Kilman,ENG,DF,Wolves,25,22,1980,0.14,0,0,0,0,0,0,57.8,47.8,2.14,1.27,62.7,1.09,0.59,4.68,0.45,0,0.36,0,0.23,0,0
Mateusz Klich,POL,MFFW,Leeds United,32,14,280,0.65,0,0,0,0,0,0,47.7,34.8,0.32,0.65,33.3,3.87,2.58,0.32,3.23,0,1.29,0.32,0.97,2.58,0
Robin Koch,GER,DF,Leeds United,26,20,1752,0.26,0,0,0,0,0,0.05,47.3,36,2.56,1.49,63.3,1.59,0.87,3.85,1.23,0,0.31,0.05,0.56,0.05,0
Ibrahima Konaté,FRA,DF,Liverpool,23,5,382,0,0,0,0,0,0,0.24,64,55,2.86,1.67,63.2,2.86,1.67,5,1.19,0,0.71,0.24,0.71,0,0
Ezri Konsa,ENG,DF,Aston Villa,25,21,1792,0.15,0,0,0,0,0,0,51.4,44.3,1.66,1.21,57.9,1.41,0.4,3.47,0.35,0,0.2,0,1.86,0.2,0
Kalidou Koulibaly,SEN,DF,Chelsea,31,14,1115,0.4,0.08,2,0,0,0,0,77.3,66.1,1.77,1.45,55,2.02,1.29,3.31,1.45,0,0.73,0.32,0.48,0.24,0
Cheikhou Kouyaté,SEN,MFDF,Nott'ham Forest,33,12,704,0.26,0,1,0,0,0,0,26.4,20.4,1.79,0.64,73.7,2.56,1.92,2.56,1.92,0,0.64,0.64,0.9,0,0
Mateo Kova?i?,CRO,MF,Chelsea,28,15,835,0.32,0,0,0,0,0.11,0,68.9,57.7,0.43,0.75,36.4,1.94,1.29,0.97,1.08,0,1.29,0,0.54,0.22,0
Emil Krafth,SWE,DF,Newcastle Utd,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Kulusevski,SWE,MFFW,Tottenham,22,15,1132,0,0,2,0,0,0.4,0,33.4,25.5,0.24,0.24,50,1.75,0.48,0.32,1.19,0,1.67,0.48,1.03,2.06,0
Layvin Kurzawa,FRA,DF,Fulham,30,3,135,0.67,0,0,0,0,0,0,27.3,18.7,0,1.33,0,2,1.33,2.67,0.67,0,0,0,0,1.33,0
Adam Lallana,ENG,MFFW,Brighton,34,16,722,0,0,2,0,0,0.13,0,39.6,32.8,1,1.13,47.1,1.13,0.5,0.13,0.25,0,1,0.63,0.88,0.38,0
Tariq Lamptey,GHA,DF,Brighton,22,18,409,0.22,0,0,0,0,0,0,59.1,46.4,0.44,1.33,25,2.44,1.33,0.44,1.33,0,0.67,0,2.67,6.67,0
Manuel Lanzini,ARG,MFFW,West Ham,29,5,126,0,0,0,0,0,0,0,59.3,48.6,0,0.71,0,0,0,0,0.71,0,1.43,0,0,0.71,0
Aymeric Laporte,ESP,DF,Manchester City,28,5,376,0,0,0,0,0,0,0,74.8,68.6,3.33,1.67,66.7,0.48,0.24,3.33,0,0,1.67,0,0.48,0.48,0
Juan Larios,ESP,DF,Southampton,19,5,152,0,0,0,0,0,0,0,48.2,37.1,1.18,2.94,28.6,4.12,3.53,2.35,0.59,0,0,0,0,2.35,0
Jamaal Lascelles,ENG,DF,Newcastle Utd,29,4,107,2.5,0,0,0,0,0,0,21.7,17.5,3.33,0.83,80,0.83,0,8.33,3.33,0,0.83,0,1.67,0,0
Roméo Lavia,BEL,MF,Southampton,19,13,893,0.4,0,1,0,0,0,0,37.9,32.8,0.4,0.3,57.1,2.42,1.21,0.51,1.01,0,0.51,0.2,1.92,0.1,0
Dexter Lembikisa,JAM,DF,Wolves,19,1,23,0,0,0,0,0,0,0,43.3,33.3,0,3.33,0,0,0,0,0,0,0,0,0,3.33,0
Mario Lemina,GAB,MF,Wolves,29,4,192,1.43,0.48,0,0,0,0,0,43.3,38.1,1.9,0,100,1.9,1.43,3.33,1.43,0,0.48,0,0.95,0.48,0
Clément Lenglet,FRA,DF,Tottenham,27,13,935,0.19,0,0,0,0,0.19,0,69.2,60.8,2.21,1.06,67.6,1.63,0.77,2.6,0.77,0,0.67,0,0.96,1.06,0
Bernd Leno,GER,GK,Fulham,30,21,1890,0.1,0,0,0,0,0,0,37,29.1,0.38,0,100,0,0,0.48,0,0,0,0,0.05,0,0
Jefferson Lerma,COL,MFDF,Bournemouth,28,22,1973,0.14,0,2,0,0,0,0.05,43.2,35.3,1.92,1.14,62.7,1.46,0.78,3.15,0.91,0.09,0.73,0.14,1.14,0.18,0
Jamal Lewis,NIR,DF,Newcastle Utd,25,1,8,0,0,0,0,0,0,0,120,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Rico Lewis,ENG,DFMF,Manchester City,18,9,453,0.2,0,0,0,0,0,0,69.2,63.6,0,0.2,0,2,1.4,1.4,0.8,0,0.2,0.2,1.6,0.8,0
Keane Lewis-Potter,ENG,FWMF,Brentford,21,9,306,0,0,0,0,0,0.29,0,20.6,11.8,0.59,1.18,33.3,0.29,0,0.59,0.29,0,2.06,0.59,1.18,1.76,0
Victor Lindelöf,SWE,DF,Manchester Utd,28,8,452,0,0,0,0,0,0,0,63.2,58.4,2.4,1,70.6,1,0.6,4,0.4,0,0,0,0,0,0
Jesse Lingard,ENG,FWMF,Nott'ham Forest,30,14,861,0.1,0,0,0,0,0,0,27.7,22,0.1,0.21,33.3,0.31,0.31,0.42,0.83,0,1.04,0.21,0.83,0.42,0
Diego Llorente,ESP,DF,Leeds United,29,8,649,0.14,0,0,0,0,0,0,59.6,49.4,2.5,0.97,72,1.81,1.39,3.33,0.83,0,0.83,0,0.28,0.14,0
Hugo Lloris,FRA,GK,Tottenham,36,21,1890,0,0,0,0,0,0,0.05,29.8,23.5,0.29,0.14,66.7,0.05,0.05,0.52,0,0,0,0,0.1,0,0
Renan Lodi,BRA,DF,Nott'ham Forest,24,14,1099,0.16,0,0,0,0,0,0,42.9,30.2,0.9,1.07,45.8,2.05,1.31,3.03,1.23,0,0.74,0,1.8,3.61,0
Ruben Loftus-Cheek,ENG,MFDF,Chelsea,27,15,1032,0.09,0,0,0,0,0,0.09,53.4,45.5,1.65,1.74,48.7,1.57,0.78,1.48,0.52,0,0.78,0.17,2.35,0.96,0
Sean Longstaff,ENG,MF,Newcastle Utd,25,22,1685,0.11,0,1,0,0,0.16,0,42.5,33.4,0.91,1.07,45.9,1.44,0.86,0.96,1.02,0,1.07,0.32,1.34,1.12,0
Jamal Lowe,JAM,MFFW,Bournemouth,28,2,12,0,0,0,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Luiz,BRA,MF,Aston Villa,24,20,1434,0.13,0.06,2,0,0,0.25,0,58.9,48.7,1.07,0.94,53.1,2.33,1.26,0.63,1.57,0,1.07,0.38,1.26,3.46,0
Saa Luki?,SRB,MF,Fulham,26,1,1,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0
Lyanco,BRA,DF,Southampton,26,13,697,0.52,0,0,0,0,0,0,44.2,31.3,2.34,1.17,66.7,1.95,1.3,3.51,1.43,0,1.04,0.39,0.78,0.39,0
Alexis Mac Allister,ARG,MF,Brighton,24,18,1547,0.35,0,5,0.17,0.17,0,0.06,57.8,51.1,0.7,0.29,70.6,2.79,1.63,0.29,1.1,0,2.03,0.76,1.4,0.87,0
